"","Gene","noIR1","noIR2","IR1","IR2"
"3147","ENSMUSG00000021548",781.232856043312,712.566471482134,659.726554554915,735.310483647999
"3148","ENSMUSG00000021549",1343.33942319643,1328.45852838819,1219.54458207461,1461.38339840595
"3149","ENSMUSG00000021550",28.5816898552431,35.8455694495586,53.6698698949556,63.7392253413467
"3150","ENSMUSG00000021552",315.589492151643,280.247179332912,316.2393872272,356.570159155939
"3151","ENSMUSG00000021553",5.95451871984232,5.43114688629675,2.47707091822872,1.84751377801005
"3152","ENSMUSG00000021555",812.196353386492,678.893360787094,668.809147921754,784.269598765266
"3153","ENSMUSG00000021556",0,2.1724587545187,1.65138061215248,0
"3154","ENSMUSG00000021557",1801.83736462429,1664.10340596132,1606.79333562436,1842.89499356502
"3155","ENSMUSG00000021559",0,0,0,0
"3156","ENSMUSG00000021565",17.863556159527,11.9485231498529,9.90828367291487,6.46629822303517
"3157","ENSMUSG00000021566",39.2998235509593,29.3281931860025,8.2569030607624,26.7889497811457
"3158","ENSMUSG00000021567",108.37224070113,101.01933208512,98.2571464230725,147.801102240804
"3159","ENSMUSG00000021569",1095.63144445099,971.089063269859,985.048535148954,1114.05080814006
"3160","ENSMUSG00000021572",367.989256886255,447.526503430852,374.037708652536,549.635348957989
"3161","ENSMUSG00000021573",21.4362673914324,24.9832756769651,16.5138061215248,25.8651928921407
"3162","ENSMUSG00000021575",470.406978867543,313.920290027952,585.414427008054,436.937008499376
"3163","ENSMUSG00000021576",900.323230440159,731.032370895543,664.680696391373,809.211034768401
"3164","ENSMUSG00000021577",7035.85931936569,7032.24898837704,5935.06192007601,6884.76009375444
"3165","ENSMUSG00000021578",1177.80380278481,1330.6309871427,1117.98467442723,1163.00992325733
"3166","ENSMUSG00000021579",0,0,0,0
"3167","ENSMUSG00000021583",2403.24375532836,2666.69312117171,2175.69395651089,2927.38558125692
"3168","ENSMUSG00000021585",896.750519208253,871.155960561999,889.26845964411,1065.09169302279
"3169","ENSMUSG00000021587",0,0,0,0
"3170","ENSMUSG00000021589",2.38180748793693,0,1.65138061215248,0.923756889005024
